A formal C memory model supporting integer-pointer casts,Mansky, William
A formal C memory model supporting integer-pointer casts,Garbuzov, Dmitri
A formal C memory model supporting integer-pointer casts,Zdancewic, Steve
A formal C memory model supporting integer-pointer casts,Vafeiadis, Viktor
Termination and non-termination specification inference,Le, Ton Chanh
Termination and non-termination specification inference,Qin, Shengchao
Termination and non-termination specification inference,Chin, Wei-Ngan
Many-core compiler fuzzing,Lidbury, Christopher
Many-core compiler fuzzing,Lascu, Andrei
Many-core compiler fuzzing,Chong, Nathan
Many-core compiler fuzzing,Donaldson, Alastair F
Compositional certified resource bounds,Carbonneaux, Quentin
Compositional certified resource bounds,Hoffmann, Jan
Compositional certified resource bounds,Shao, Zhong
KJS: a complete formal semantics of JavaScript,Park, Daejun
KJS: a complete formal semantics of JavaScript,Stef{\u{a}}nescu, Andrei
KJS: a complete formal semantics of JavaScript,Ro{\c{s}}u, Grigore
Mechanized verification of fine-grained concurrent programs,Sergey, Ilya
Mechanized verification of fine-grained concurrent programs,Nanevski, Aleksandar
Mechanized verification of fine-grained concurrent programs,Banerjee, Anindya
Declarative programming over eventually consistent data stores,Sivaramakrishnan, Krishnamoorthy C
Declarative programming over eventually consistent data stores,Kaki, Gowtham
Declarative programming over eventually consistent data stores,Jagannathan, Suresh
FlashRelate: extracting relational data from semi-structured spreadsheets using examples,Barowy, Daniel W
FlashRelate: extracting relational data from semi-structured spreadsheets using examples,Gulwani, Sumit
FlashRelate: extracting relational data from semi-structured spreadsheets using examples,Hart, Ted
FlashRelate: extracting relational data from semi-structured spreadsheets using examples,Zorn, Benjamin
Automatically improving accuracy for floating point expressions,Panchekha, Pavel
Automatically improving accuracy for floating point expressions,Sanchez-Stern, Alex
Automatically improving accuracy for floating point expressions,Wilcox, James R
Automatically improving accuracy for floating point expressions,Tatlock, Zachary
Verdi: a framework for implementing and formally verifying distributed systems,Wilcox, James R
Verdi: a framework for implementing and formally verifying distributed systems,Woos, Doug
Verdi: a framework for implementing and formally verifying distributed systems,Panchekha, Pavel
Verdi: a framework for implementing and formally verifying distributed systems,Tatlock, Zachary
Verdi: a framework for implementing and formally verifying distributed systems,Wang, Xi
Verdi: a framework for implementing and formally verifying distributed systems,Ernst, Michael D
Verdi: a framework for implementing and formally verifying distributed systems,Anderson, Thomas
